# Jingwei AI Keyboard merged lexicon
# Format: pinyin<TAB>candidate1|candidate2...<TAB>weight1|weight2...
# Base chat phrases + Rime pinyin-simp, frequency preserved
# Upstream: https://github.com/rime/rime-pinyin-simp
chuan	串|传|傳|喘|巛|川|椽|氚|穿|舛|舡|船|荈|踳|遄|钏|暷|歂|汌|玔|瑏|賗|輲|釧	500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|1|1|1|1|1|1|1|1
chuang	傸|创|刱|剏|創|幢|床|怆|愴|摐|牀|疮|瘡|窗|闖|闯|磢|窓	500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|1|1
chui	吹|圌|垂|捶|棰|椎|槌|炊|缍|菙|錘|鎚|锤|陲	500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000
chun	偆|唇|惷|春|暙|椿|淳|純|纯|脣|莼|蝽|蠢|賰|醇|鹑|媋|杶|槆|橁|漘|犉|瑃|萶	500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|1|1|1|1|1|1|1|1
ci	兹|刺|差|慈|次|此|瓷|疵|磁|祠|茨|詞|词|赐|辞|雌|糍|佽|鹚|賜|栨|伺|辭|泚	500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|23|19|18|17|15|12|12|11
cong	丛|从|匆|囱|婃|従|從|枞|淙|熜|琮|璁|聪|聰|葱|骢|苁|囪|蔥|悰|叢|聡|怱|悤	500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|10|7|7|6|5|5|3|3
cou	凑|楱|湊|玼|腠|輳|辏	500000|500000|500000|500000|500000|500000|500000
cu	促|卒|徂|憱|殂|猝|瘯|簇|粗|蔟|蹙|蹴|酢|醋|顣|麁|麤|觕|踀|踧|鼀	500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|2|1|1|1|1
cuan	巑|撺|攅|攒|攛|攢|汆|爨|窜|竄|篡|簒|蹿|躥|镩	500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000
cui	催|啐|崔|悴|摧|榱|毳|淬|漼|璀|瘁|粹|翠|脆|萃|衰|凗|墔|忰|慛|焠|磪|竁|翆	500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|1|1|1|1|1|1|1|1
cun	刌|吋|存|寸|忖|村|皴|籿|蹲|邨	500000|500000|500000|500000|500000|500000|500000|500000|500000|500000
cuo	剉|厝|夎|嵯|挫|措|搓|撮|痤|矬|磋|蹉|錯|锉|错|鹾|棤|脞|瘥|齹|剒|瑳|嵳|莝	500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|6|5|4|4|2|2|1|1
da	哒|嗒|噠|大|妲|怛|打|搭|沓|瘩|笪|答|耷|达|達|鞑|龘|褡|靼|咑|炟|躂|匒|燵	500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|11|9|9|7|3|2|1|1
dai	代|呆|大|岱|带|帶|待|怠|戴|歹|殆|甙|袋|贷|逮|黛|傣|埭|玳|迨|绐|呔|汏|帯	500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|49|43|32|22|15|13|10|8
dan	丹|但|单|卩|啖|弹|担|掸|旦|氮|淡|澹|耽|胆|蛋|诞|儋|單|惮|殚|亶|勯|箪|聃	500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|34|33|31|30|27|24|19|18
dang	儅|党|凼|噹|宕|当|挡|档|檔|當|砀|荡|裆|谠|铛|黨|擋|菪|蕩|珰|璫|簹|讜|盪	500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|7|6|6|3|3|3|3|2
dao	倒|刀|刂|到|叨|导|屶|岛|悼|捣|槝|盗|祷|稻|蹈|道|島|纛|忉|瓙|氘|菿|導|嶋	500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|35|22|21|21|20|18|15|10
de	地|底|得|徳|德|悳|淂|的|锝	500000|500000|500000|500000|500000|500000|500000|500000|500000
dei	得	500000
